Adj Close,Volume,macd,macd_h,macd_s
0.151985094,325416000,0.004171308,0.000872095,0.003299214
0.16148439,477489600,0.004892703,0.001274791,0.003617911
0.16195935,456590400,0.005440029,0.001457694,0.003982335
0.169558972,712667200,0.006413089,0.001944603,0.004468486
0.178582519,595134400,0.007822202,0.002682973,0.005139229
0.179533169,519601600,0.008912901,0.003018937,0.005893963
0.172883436,400444800,0.009135402,0.002593151,0.006542251
0.17573294,334073600,0.009432931,0.002312544,0.007120387
0.185707226,817824000,0.010354209,0.002587057,0.007767151
0.182857662,675124800,0.010730695,0.002370835,0.00835986
0.185707226,666467200,0.011130692,0.002216666,0.008914027
0.172883436,574929600,0.010294254,0.001104182,0.009190072
0.182857662,712902400,0.010317276,0.000901763,0.009415513
0.198531017,1214337600,0.011468034,0.001642017,0.009826017
0.205180019,744363200,0.01276934,0.002354658,0.010414682
0.206130669,566160000,0.013719197,0.002643612,0.011075585
0.20280534,402360000,0.014041774,0.002372952,0.011668823
0.200193301,410256000,0.013926118,0.001805837,0.012120282
0.204704985,276998400,0.014036709,0.001533141,0.012503567
0.203280255,160059200,0.013849737,0.001076936,0.012772801
0.200430676,215476800,0.013318101,0.00043624,0.012881861
0.198531017,414736000,0.012598264,-0.000226878,0.012825142
0.212779611,675931200,0.013027359,0.000161774,0.012865585
0.206368119,387374400,0.012703627,-0.000129567,0.012833194
0.20185551,202966400,0.01194524,-0.000710363,0.012655603
0.204704985,255595200,0.011442242,-0.000970689,0.012412931
0.208505243,250700800,0.011220914,-0.000953613,0.012174527
0.208980173,266896000,0.010957522,-0.000973605,0.011931126
0.208980173,186883200,0.010626288,-0.001043871,0.011670159
0.207555443,194308800,0.010132023,-0.001230508,0.011362532
0.20565486,203067200,0.009477701,-0.001507865,0.010985565
0.199480861,347592000,0.008364534,-0.002096825,0.010461359
0.193781748,292700800,0.006942443,-0.002815133,0.009757576
0.18998158,225198400,0.005446005,-0.003449257,0.008895262
0.194731593,170307200,0.004590438,-0.003443859,0.008034297
0.200905666,288299200,0.004360328,-0.002939175,0.007299503
0.204704985,327846400,0.004433432,-0.002292857,0.006726289
0.208505243,557513600,0.004743338,-0.001586361,0.006329699
0.21752888,1837953600,0.005651921,-0.000542223,0.006194143
0.212304682,592166400,0.005882619,-0.000249219,0.006131838
0.220379233,517776000,0.006640451,0.00040689,0.006233561
0.220379233,348028800,0.007158519,0.000739967,0.006418552
0.208980173,284950400,0.006573508,0.000123964,0.006449543
0.210404992,475294400,0.006153914,-0.000236503,0.006390418
0.212304682,215544000,0.005906585,-0.000387066,0.006293651
0.210879877,409796800,0.005531838,-0.000609451,0.006141288
0.204704985,237171200,0.004682607,-0.001166945,0.005849552
0.205180019,189537600,0.004001787,-0.001478212,0.005479999
0.208030358,179950400,0.003650154,-0.001463876,0.00511403
0.212779611,184072000,0.003711919,-0.001121689,0.004833608
0.220854118,571144000,0.004362129,-0.000377183,0.004739312
0.225603402,419283200,0.005200703,0.000369112,0.00483159
0.23035264,897008000,0.006177294,0.001076563,0.005100731
0.229402751,552899200,0.006796258,0.001356422,0.005439837
0.231302455,270816000,0.007355295,0.001532367,0.005822928
0.235102788,665022400,0.008012626,0.001751758,0.006260868
0.228927776,257812800,0.007943724,0.001346285,0.006597439
0.231302455,314417600,0.007988647,0.001112966,0.006875681
0.228452906,162680000,0.00770549,0.000663847,0.007041643
0.224653497,272585600,0.007092744,4.09E-05,0.007051863
0.21657899,232388800,0.005887724,-0.000931311,0.006819035
0.223228797,218265600,0.005406992,-0.001129634,0.006536627
0.224653497,190176000,0.005082383,-0.001163394,0.006245778
0.219429404,130995200,0.004353405,-0.001513899,0.005867303
0.211829722,266593600,0.003126414,-0.002192712,0.005319125
0.20280534,311774400,0.001409574,-0.003127641,0.004537215
0.203280255,370193600,8.63E-05,-0.003560738,0.00364703
0.208505243,298491200,-0.000534642,-0.003345338,0.002810696
0.202330366,216720000,-0.001507618,-0.003454652,0.001947033
0.199480861,319692800,-0.002480052,-0.003541668,0.001061616
0.204230055,179300800,-0.002834815,-0.003117145,0.00028233
0.199955821,145140800,-0.003421422,-0.002963001,-0.00045842
0.203755185,156139200,-0.00353894,-0.002464416,-0.001074524
0.204230055,123323200,-0.003552802,-0.001982622,-0.00157018
0.207080543,126627200,-0.003295785,-0.001380484,-0.001915301
0.214679271,275744000,-0.002450694,-0.000428314,-0.00202238
0.213254526,229230400,-0.001874312,0.000118454,-0.001992766
0.211354822,180118400,-0.001552914,0.000351882,-0.001904796
0.213729486,223854400,-0.001093978,0.000648654,-0.001742632
0.208980173,136662400,-0.001100808,0.000513459,-0.001614267
0.212779611,129684800,-0.000790525,0.000658994,-0.001449519
0.213729486,187174400,-0.000462644,0.0007895,-0.001252144
0.207555443,119996800,-0.000693001,0.000447314,-0.001140315
0.20565486,137558400,-0.001017196,9.85E-05,-0.001115691
0.208030358,134568000,-0.001070105,3.65E-05,-0.001106574
0.211354822,231056000,-0.000834163,0.000217929,-0.001052092
0.214679271,273795200,-0.000374604,0.00054199,-0.000916594
0.217053965,191811200,0.000179153,0.000876597,-0.000697445
0.214204356,111115200,0.000383647,0.000864873,-0.000481227
0.21800375,166185600,0.000842576,0.001059042,-0.000216466
0.21800375,131062400,0.001192534,0.0011272,6.53E-05
0.227503046,314115200,0.002210907,0.001716458,0.000494449
0.220379233,298110400,0.0024153,0.001536681,0.000878619
0.230827585,270950400,0.003381399,0.002002224,0.001379175
0.231777459,241472000,0.004175553,0.002237103,0.001938451
0.247451708,932814400,0.006000536,0.003249669,0.002750868
0.240801781,566608000,0.006831506,0.003264511,0.003566995
0.243651271,302523200,0.007632008,0.00325201,0.004379998
0.25789997,715388800,0.009308856,0.003943087,0.00536577
0.254100561,548531200,0.010213456,0.003878149,0.006335307
0.261700183,594966400,0.011412032,0.00406138,0.007350652
0.28497228,2561350400,0.0140775,0.005381479,0.008696022
0.280223042,629552000,0.015626546,0.005544419,0.010082126
0.275473803,383891200,0.016283248,0.004960897,0.011322351
0.27072376,329504000,0.016233274,0.003928739,0.012304535
0.265974462,280728000,0.015630264,0.002660583,0.012969681
0.265499532,253131200,0.014941812,0.001577705,0.013364107
0.263599873,271286400,0.01408061,0.000573202,0.013507408
0.261700183,214233600,0.013093873,-0.000330828,0.013424701
0.255525261,225377600,0.011678985,-0.001396573,0.013075558
0.266924292,447720000,0.011346685,-0.001383098,0.012729783
0.277373493,362297600,0.011790583,-0.00075136,0.012541943
0.263124913,183108800,0.010867362,-0.001339665,0.012207027
0.266924292,301761600,0.010323281,-0.001506997,0.011830278
0.259800375,293921600,0.009211073,-0.002095364,0.011306437
0.273574144,454081600,0.009333477,-0.001578368,0.010911845
0.280223042,438614400,0.00985341,-0.000846748,0.010700158
0.277373493,298020800,0.00992116,-0.000623198,0.010544358
0.288297504,488600000,0.010732611,0.000150602,0.010582009
0.296371371,1759475200,0.011890123,0.001046491,0.010843632
0.304445922,689774400,0.013305629,0.001969598,0.011336031
0.299696594,390779200,0.01388415,0.002038495,0.011845655
0.307770312,450777600,0.014823239,0.002382068,0.012441172
0.318694562,930876800,0.016261518,0.003056277,0.013205241
0.323443592,605953600,0.017581898,0.003501325,0.014080572
0.311569721,485990400,0.017468816,0.002710595,0.014758221
0.308720142,391921600,0.016953828,0.001756486,0.015197343
0.326769054,813377600,0.017796941,0.002079679,0.015717262
0.312995434,610176000,0.017155935,0.001150938,0.016004997
0.310144991,495566400,0.016230827,0.000180664,0.016050163
0.306820512,406481600,0.01505586,-0.000795442,0.015851302
0.28497228,1114243200,0.012220846,-0.002904365,0.015125211
0.259800375,932254400,0.007852398,-0.005818251,0.013670648
0.237002388,868224000,0.002521695,-0.008919163,0.011440858
0.259325534,869075200,9.72E-05,-0.00907489,0.009172135
0.270248771,843001600,-0.000931992,-0.008083301,0.00715131
0.263124913,409752000,-0.002296038,-0.007557878,0.00526184
0.266924292,377272000,-0.003035485,-0.00663786,0.003602375
0.290672213,402796800,-0.00168581,-0.004230548,0.002544738
0.284022391,354692800,-0.001139631,-0.002947496,0.001807864
0.289722413,526881600,-0.000244023,-0.00164151,0.001397487
0.285922974,352284800,0.000157355,-0.000992105,0.001149461
0.282597661,247072000,0.000204766,-0.000755756,0.000960522
0.290197313,433652800,0.000845817,-9.18E-05,0.000937581
0.283547521,258876800,0.000807958,-0.000103698,0.000911656
0.273574144,269292800,-2.65E-05,-0.000750531,0.000724023
0.279273182,305076800,-0.000225365,-0.000759511,0.000534146
0.280697912,295870400,-0.000264943,-0.000639271,0.000374328
0.281172782,257936000,-0.000255051,-0.000503503,0.000248452
0.291147113,287918400,0.000551279,0.000242261,0.000309017
0.292571992,482843200,0.001290402,0.000785108,0.000505294
0.294471681,228289600,0.002006324,0.001200824,0.0008055
0.296846241,405417600,0.002733791,0.001542632,0.001191158
0.300171554,305132800,0.003537856,0.001877358,0.001660498
0.289722413,167182400,0.003293955,0.001306766,0.001987189
0.27119866,370216000,0.001587648,-0.000319633,0.001907281
0.266449422,475574400,-0.000146152,-0.001642746,0.001496595
0.244601205,551880000,-0.003245754,-0.003793879,0.000548125
0.247451708,399862400,-0.005409838,-0.00476637,-0.000643468
0.24270156,473356800,-0.007422624,-0.005423325,-0.001999299
0.234152913,689214400,-0.009596948,-0.006078119,-0.003518829
0.266924292,668236800,-0.008576871,-0.004046433,-0.004530437
0.284497321,622899200,-0.006278085,-0.001398118,-0.004879967
0.294471681,941628800,-0.003609822,0.001016116,-0.004625938
0.284022391,2280017600,-0.002311726,0.001851369,-0.004163096
0.278323382,840672000,-0.001722977,0.001952095,-0.003675072
0.278798252,615563200,-0.00120419,0.001976705,-0.003180896
0.28497228,475776000,-0.000291495,0.00231152,-0.002603015
0.274049073,382088000,-0.000444466,0.00172684,-0.002171305
0.282122821,430617600,8.48E-05,0.001804893,-0.001720082
0.279273182,317374400,0.000271197,0.001593024,-0.001321826
0.269773841,355980800,-0.000343646,0.000782544,-0.00112619
0.284497321,475843200,0.000353078,0.001183415,-0.000830337
0.267874151,538193600,-0.000431144,0.000319354,-0.000750498
0.279748112,363708800,-9.34E-05,0.000525647,-0.000619086
0.276898533,344579200,-5.51E-05,0.000451183,-0.00050629
0.282122821,317643200,0.000392305,0.000718876,-0.000326571
0.285922974,253769600,0.001041517,0.001094471,-5.30E-05
0.287347764,370451200,0.001651948,0.001363921,0.000288027
0.293996751,627883200,0.002641784,0.001883006,0.000758778
0.290197313,607118400,0.003084102,0.001860259,0.001223843
0.289247453,797339200,0.003319728,0.001676708,0.00164302
0.278323382,660788800,0.002595068,0.000761639,0.00183343
0.266924292,883982400,0.001088412,-0.000596014,0.001684426
0.255050391,948505600,-0.001051626,-0.002188841,0.001137216
0.25837484,595100800,-0.002451111,-0.002870661,0.00041955
0.27119866,791817600,-0.002496658,-0.002332967,-0.000163691
0.273574144,384529600,-0.002314394,-0.001720562,-0.000593832
0.264549673,210728000,-0.00286512,-0.001817031,-0.00104809
0.269298881,329660800,-0.002885096,-0.001469605,-0.001415491
0.27167359,346528000,-0.002678433,-0.001010353,-0.001668079
0.268349111,399224000,-0.002751194,-0.000866492,-0.001884702
0.275473803,577953600,-0.002208496,-0.000259035,-0.001949461
0.273099184,319748800,-0.001947566,1.52E-06,-0.001949082
0.266924292,303800000,-0.002213523,-0.000211553,-0.00200197
0.266449422,153104000,-0.00243455,-0.000346064,-0.002088486
0.24270156,561489600,-0.004474392,-0.001908724,-0.002565667
0.259325534,865737600,-0.004695439,-0.001703817,-0.002991622
